"","no","title","artist","year"
"185","85","Tonight My Love, Tonight","Paul Anka","1961"
"186","86","San Antonio Rose","Floyd Cramer","1961"
"187","87","Big Bad John","Jimmy Dean","1961"
"188","88","Good Time Baby","Bobby Rydell","1961"
"189","89","Rubber Ball","Bobby Vee","1961"
"190","90","Missing You","Ray Peterson","1961"
"191","91","Dum Dum","Brenda Lee","1961"
"192","92","I'm Gonna Knock on Your Door","Eddie Hodges","1961"
"193","93","You Can Depend on Me","Brenda Lee","1961"
"194","94","Let's Twist Again","Chubby Checker","1961"
"195","95","Take Five","The Dave Brubeck Quartet","1961"
"196","96","Are You Lonesome Tonight?","Elvis Presley","1961"
"197","97","Sea of Heartbreak","Don Gibson","1961"
"198","98","More Money for You and Me","The Four Preps","1961"
"199","99","You Must Have Been a Beautiful Baby","Bobby Darin","1961"
"200","100","Please Stay","The Drifters","1961"
"201","1","Stranger on the Shore","Acker Bilk","1962"
"202","2","I Can't Stop Loving You","Ray Charles","1962"
"203","3","Mashed Potato Time","Dee Dee Sharp","1962"
"204","4","Roses Are Red (My Love)","Bobby Vinton","1962"
"205","5","The Stripper","David Rose","1962"
"206","6","Johnny Angel","Shelley Fabares","1962"
"207","7","The Loco-Motion","Little Eva","1962"
"208","8","Let Me In","The Sensations","1962"
"209","9","The Twist","Chubby Checker","1962"
"210","10","Soldier Boy","The Shirelles","1962"
"211","11","Hey! Baby","Bruce Channel","1962"
"212","12","The Wanderer","Dion","1962"
"213","13","Duke of Earl","Gene Chandler","1962"
"214","14","Palisades Park","Freddy Cannon","1962"
"215","15","Breaking Up Is Hard to Do","Neil Sedaka","1962"
"216","16","Wolverton Mountain","Claude King","1962"
"217","17","Slow Twistin'","Chubby Checker & Dee Dee Sharp","1962"
"218","18","It Keeps Right On a-Hurtin'","Johnny Tillotson","1962"
"219","19","The One Who Really Loves You","Mary Wells","1962"
"220","20","Good Luck Charm","Elvis Presley","1962"
"221","21","Midnight in Moscow","Kenny Ball","1962"
"222","22","Sheila","Tommy Roe","1962"
"223","23","Twistin' the Night Away","Sam Cooke","1962"
"224","24","The Wah-Watusi","The Orlons","1962"
"225","25","Peppermint Twist","Joey Dee and the Starliters","1962"
"226","26","Break It to Me Gently","Brenda Lee","1962"
"227","27","Playboy","The Marvelettes","1962"
"228","28","Ramblin' Rose","Nat King Cole","1962"
"229","29","Sealed with a Kiss","Brian Hyland","1962"
"230","30","She Cried","Jay and the Americans","1962"
"231","31","Don't Break the Heart That Loves You","Connie Francis","1962"
"232","32","Dear Lady Twist","Gary U.S. Bonds","1962"
"233","33","Norman","Sue Thompson","1962"
"234","34","Love Letters","Ketty Lester","1962"
"235","35","Party Lights","Claudine Clark","1962"
"236","36","Cotton Fields","The Highwaymen","1962"
"237","37","Alley Cat","Bent Fabric","1962"
"238","38","Twist and Shout","The Isley Brothers","1962"
"239","39","Theme from Dr. Kildare (Three Stars Will Shine Tonight)","Richard Chamberlain","1962"
