"","no","title","artist","year"
"3239","38","Move This","Technotronic featuring Ya Kid K","1992"
"3240","39","Bohemian Rhapsody","Queen","1992"
"3241","40","Tennessee","Arrested Development","1992"
"3242","41","The Best Things in Life Are Free","Luther Vandross and Janet Jackson","1992"
"3243","42","Make It Happen","Mariah Carey","1992"
"3244","43","The One","Elton John","1992"
"3245","44","Set Adrift on Memory Bliss","P.M. Dawn","1992"
"3246","45","Stay","Shakespears Sister","1992"
"3247","46","2 Legit 2 Quit","Hammer","1992"
"3248","47","Please Don't Go","KWS","1992"
"3249","48","Breakin' My Heart (Pretty Brown Eyes)","Mint Condition","1992"
"3250","49","Wishing on a Star","The Cover Girls","1992"
"3251","50","She's Playing Hard to Get","Hi-Five","1992"
"3252","51","I'd Die Without You","P.M. Dawn","1992"
"3253","52","Good for Me","Amy Grant","1992"
"3254","53","All I Want","Toad the Wet Sprocket","1992"
"3255","54","When a Man Loves a Woman","Michael Bolton","1992"
"3256","55","I Can't Dance","Genesis","1992"
"3257","56","Hazard","Richard Marx","1992"
"3258","57","Mysterious Ways","U2","1992"
"3259","58","Too Funky","George Michael","1992"
"3260","59","How Do You Talk to an Angel","The Heights","1992"
"3261","60","One","U2","1992"
"3262","61","Keep on Walkin'","CeCe Peniston","1992"
"3263","62","Hold on My Heart","Genesis","1992"
"3264","63","The Way I Feel About You","Karyn White","1992"
"3265","64","Beauty and the Beast","Celine Dion and Peabo Bryson","1992"
"3266","65","Warm It Up","Kris Kross","1992"
"3267","66","In the Closet","Michael Jackson","1992"
"3268","67","People Everyday","Arrested Development","1992"
"3269","68","No Son of Mine","Genesis","1992"
"3270","69","Wildside","Marky Mark and the Funky Bunch","1992"
"3271","70","Do I Have to Say the Words?","Bryan Adams","1992"
"3272","71","Friday I'm in Love","The Cure","1992"
"3273","72","Everything About You","Ugly Kid Joe","1992"
"3274","73","Blowing Kisses in the Wind","Paula Abdul","1992"
"3275","74","Thought I'd Died and Gone to Heaven","Bryan Adams","1992"
"3276","75","Rhythm Is a Dancer","Snap!","1992"
"3277","76","Addams Groove","Hammer","1992"
"3278","77","Missing You Now","Michael Bolton","1992"
"3279","78","Back to the Hotel","N2Deep","1992"
"3280","79","Everything Changes","Kathy Troccoli","1992"
"3281","80","Have You Ever Needed Someone So Bad","Def Leppard","1992"
"3282","81","Take This Heart","Richard Marx","1992"
"3283","82","When I Look Into Your Eyes","FireHouse","1992"
"3284","83","I Wanna Love You","Jade","1992"
"3285","84","Uhh Ahh","Boyz II Men","1992"
"3286","85","Real Love","Mary J. Blige","1992"
"3287","86","Justified and Ancient","The KLF","1992"
"3288","87","Slow Motion","Color Me Badd","1992"
"3289","88","What About Your Friends","TLC","1992"
"3290","89","Thinkin' Back","Color Me Badd","1992"
"3291","90","Would I Lie to You?","Charles & Eddie","1992"
"3292","91","That's What Love Is For","Amy Grant","1992"
"3293","92","Keep Coming Back","Richard Marx","1992"
"3294","93","Free Your Mind","En Vogue","1992"
"3295","94","Keep It Comin'","Keith Sweat","1992"
"3296","95","Just Take My Heart","Mr. Big","1992"
"3297","96","I Will Remember You","Amy Grant","1992"
"3298","97","We Got a Love Thang","CeCe Peniston","1992"
"3299","98","Let's Get Rocked","Def Leppard","1992"
"3300","99","They Want EFX","Das EFX","1992"
"3301","100","I Can't Make You Love Me","Bonnie Raitt","1992"
"3302","1","I Will Always Love You","Whitney Houston","1993"
"3303","2","Whoomp! (There It Is)","Tag Team","1993"
"3304","3","Can't Help Falling in Love","UB40","1993"
"3305","4","That's the Way Love Goes","Janet Jackson","1993"
"3306","5","Freak Me","Silk","1993"
"3307","6","Weak","SWV","1993"
"3308","7","If I Ever Fall in Love","Shai","1993"
"3309","8","Dreamlover","Mariah Carey","1993"
"3310","9","Rump Shaker","Wreckx-n-Effect","1993"
"3311","10","Informer","Snow","1993"
"3312","11","Nuthin' but a 'G' Thang","Dr. Dre","1993"
"3313","12","In the Still of the Nite","Boyz II Men","1993"
"3314","13","Don't Walk Away","Jade","1993"
"3315","14","Knockin' da Boots","H-Town","1993"
"3316","15","Lately","Jodeci","1993"
"3317","16","Dazzey Duks","Duice","1993"
"3318","17","Show Me Love","Robin S.","1993"
"3319","18","A Whole New World","Peabo Bryson and Regina Belle","1993"
"3320","19","If","Janet Jackson","1993"
"3321","20","I'm So Into You","SWV","1993"
"3322","21","Love Is","Vanessa Williams and Brian McKnight","1993"
"3323","22","Runaway Train","Soul Asylum","1993"
"3324","23","I'll Never Get Over You (Getting Over Me)","Exposé","1993"
"3325","24","Ditty","Paperboy","1993"
"3326","25","Rhythm Is a Dancer","Snap!","1993"
"3327","26","The River of Dreams","Billy Joel","1993"
"3328","27","I'm Gonna Be (500 Miles)","The Proclaimers","1993"
"3329","28","Two Princes","Spin Doctors","1993"
"3330","29","Right Here","SWV","1993"
"3331","30","I Have Nothing","Whitney Houston","1993"
"3332","31","Mr. Wendal","Arrested Development","1993"
"3333","32","Have I Told You Lately","Rod Stewart","1993"
"3334","33","Saving Forever for You","Shanice","1993"
"3335","34","Ordinary World","Duran Duran","1993"
"3336","35","If I Had No Loot","Tony! Toni! Toné!","1993"
"3337","36","I'd Do Anything for Love (But I Won't Do That)","Meat Loaf","1993"
"3338","37","Slam","Onyx","1993"
"3339","38","Looking Through Patient Eyes","P.M. Dawn","1993"
"3340","39","I'm Every Woman","Whitney Houston","1993"
"3341","40","Baby I'm Yours","Shai","1993"
"3342","41","Come Undone","Duran Duran","1993"
"3343","42","I Don't Wanna Fight","Tina Turner","1993"
"3344","43","I'd Die Without You","P.M. Dawn","1993"
"3345","44","Whoot, There It Is","95 South","1993"
"3346","45","Hip Hop Hooray","Naughty by Nature","1993"
"3347","46","Another Sad Love Song","Toni Braxton","1993"
"3348","47","Will You Be There","Michael Jackson","1993"
"3349","48","Comforter","Shai","1993"
"3350","49","Good Enough","Bobby Brown","1993"
"3351","50","What's up","4 Non Blondes","1993"
"3352","51","All That She Wants","Ace of Base","1993"
"3353","52","7","Prince and The New Power Generation","1993"
"3354","53","Dre Day","Dr. Dre featuring Snoop Doggy Dogg","1993"
"3355","54","One Last Cry","Brian McKnight","1993"
"3356","55","Just Kickin' It","Xscape","1993"
"3357","56","I Get Around","2Pac","1993"
"3358","57","Bed of Roses","Bon Jovi","1993"
"3359","58","Real Love","Mary J. Blige","1993"
"3360","59","Here We Go Again!","Portrait","1993"
"3361","60","Cryin'","Aerosmith","1993"
"3362","61","Cat's in the Cradle","Ugly Kid Joe","1993"
"3363","62","What About Your Friends","TLC","1993"
"3364","63","I Got a Man","Positive K","1993"
"3365","64","Hey Mr. D.J.","Zhané","1993"
"3366","65","Insane in the Brain","Cypress Hill","1993"
"3367","66","Deeper and Deeper","Madonna","1993"
"3368","67","Rain","Madonna","1993"
"3369","68","The Right Kind of Love","Jeremy Jordan","1993"
"3370","69","Bad Boys","Inner Circle","1993"
"3371","70","That's What Love Can Do","Boy Krazy","1993"
"3372","71","Do You Believe in Us","Jon Secada","1993"
"3373","72","Angel","Jon Secada","1993"
"3374","73","Forever in Love","Kenny G","1993"
"3375","74","Again","Janet Jackson","1993"
"3376","75","Boom! Shake the Room","DJ Jazzy Jeff & The Fresh Prince","1993"
"3377","76","When She Cries","Restless Heart","1993"
"3378","77","Sweat (A La La La La Long)","Inner Circle","1993"
"3379","78","It Was a Good Day","Ice Cube","1993"
"3380","79","More and More","Captain Hollywood Project","1993"
"3381","80","How Do You Talk to an Angel","The Heights","1993"
"3382","81","Rebirth of Slick (Cool Like Dat)","Digable Planets","1993"
"3383","82","What Is Love","Haddaway","1993"
"3384","83","To Love Somebody","Michael Bolton","1993"
"3385","84","Give It Up, Turn It Loose","En Vogue","1993"
"3386","85","Alright","Kris Kross","1993"
"3387","86","Check Yo Self","Ice Cube featuring Das EFX","1993"
"3388","87","Fields of Gold","Sting","1993"
"3389","88","Ooh Child","Dino","1993"
"3390","89","Faithful","Go West","1993"
"3391","90","Reason to Believe","Rod Stewart","1993"
"3392","91","Break It Down Again","Tears for Fears","1993"
"3393","92","Nothin' My Love Can't Fix","Joey Lawrence","1993"
"3394","93","Three Little Pigs","Green Jellÿ","1993"
"3395","94","Livin' on the Edge","Aerosmith","1993"
"3396","95","Hey Jealousy","Gin Blossoms","1993"
"3397","96","If I Ever Lose My Faith in You","Sting","1993"
"3398","97","Anniversary","Tony! Toni! Tone!","1993"
"3399","98","One Woman","Jade","1993"
"3400","99","Can't Get Enough of Your Love","Taylor Dayne","1993"
"3401","100","Two Steps Behind","Def Leppard","1993"
"3402","1","The Sign","Ace of Base","1994"
"3403","2","I Swear","All-4-One","1994"
"3404","3","I'll Make Love to You","Boyz II Men","1994"
"3405","4","The Power of Love","Céline Dion","1994"
"3406","5","Hero","Mariah Carey","1994"
"3407","6","Stay (I Missed You)","Lisa Loeb and Nine Stories","1994"
"3408","7","Breathe Again","Toni Braxton","1994"
"3409","8","All for Love","Bryan Adams, Rod Stewart and Sting","1994"
"3410","9","All That She Wants","Ace of Base","1994"
"3411","10","Don't Turn Around","Ace of Base","1994"
"3412","11","Bump n' Grind","R. Kelly","1994"
"3413","12","Again","Janet Jackson","1994"
"3414","13","I'll Remember","Madonna","1994"
"3415","14","Whatta Man","Salt-n-Pepa and En Vogue","1994"
"3416","15","Wild Night","John Mellencamp featuring Meshell Ndegeocello","1994"
"3417","16","Without You / Never Forget You","Mariah Carey","1994"
"3418","17","You Mean the World to Me","Toni Braxton","1994"
"3419","18","Can You Feel the Love Tonight","Elton John","1994"
"3420","19","The Most Beautiful Girl in the World","Prince","1994"
"3421","20","Fantastic Voyage","Coolio","1994"
"3422","21","Baby, I Love Your Way","Big Mountain","1994"
"3423","22","Regulate","Warren G featuring Nate Dogg","1994"
"3424","23","If You Go","Jon Secada","1994"
"3425","24","Back & Forth","Aaliyah","1994"
"3426","25","Now and Forever","Richard Marx","1994"
"3427","26","When Can I See You","Babyface","1994"
"3428","27","Please Forgive Me","Bryan Adams","1994"
"3429","28","So Much in Love","All-4-One","1994"
"3430","29","Shoop","Salt-n-Pepa","1994"
"3431","30","Any Time, Any Place","Janet Jackson","1994"
"3432","31","Shine","Collective Soul","1994"
"3433","32","Said I Loved You...But I Lied","Michael Bolton","1994"
"3434","33","Return to Innocence","Enigma","1994"
"3435","34","All I Wanna Do","Sheryl Crow","1994"
"3436","35","Mmm Mmm Mmm Mmm","Crash Test Dummies","1994"
"3437","36","Can We Talk","Tevin Campbell","1994"
"3438","37","Funkdafied","Da Brat","1994"
"3439","38","I'd Do Anything for Love (But I Won't Do That)","Meat Loaf","1994"
"3440","39","Gangsta Lean","DRS","1994"
"3441","40","Because the Night","10,000 Maniacs","1994"
"3442","41","Cantaloop (Flip Fantasia)","Us3","1994"
"3443","42","Whoomp! (There It Is)","Tag Team","1994"
"3444","43","Come to My Window","Melissa Etheridge","1994"
"3445","44","Stroke You Up","Changing Faces","1994"
"3446","45","I'm Ready","Tevin Campbell","1994"
"3447","46","100% Pure Love","Crystal Waters","1994"
"3448","47","Anytime You Need a Friend","Mariah Carey","1994"
"3449","48","Because of Love","Janet Jackson","1994"
"3450","49","Linger","The Cranberries","1994"
"3451","50","Loser","Beck","1994"
"3452","51","Found Out About You","Gin Blossoms","1994"
"3453","52","Gin and Juice","Snoop Doggy Dogg","1994"
"3454","53","Never Lie","Immature","1994"
"3455","54","Streets of Philadelphia","Bruce Springsteen","1994"
"3456","55","Getto Jam","Domino","1994"
"3457","56","Endless Love","Luther Vandross and Mariah Carey","1994"
"3458","57","I Miss You","Aaron Hall","1994"
"3459","58","Understanding","Xscape","1994"
"3460","59","This D.J.","Warren G","1994"
"3461","60","Cry for You","Jodeci","1994"
"3462","61","Keep Ya Head Up","2Pac","1994"
"3463","62","What's My Name?","Snoop Doggy Dogg","1994"
"3464","63","Another Night","Real McCoy","1994"
"3465","64","Your Body's Callin'","R. Kelly","1994"
"3466","65","Tootsee Roll","69 Boyz","1994"
"3467","66","I Can See Clearly Now","Jimmy Cliff","1994"
"3468","67","Never Keeping Secrets","Babyface","1994"
"3469","68","Crazy","Aerosmith","1994"
"3470","69","Just Kickin' It","Xscape","1994"
"3471","70","(At Your Best) You Are Love","Aaliyah","1994"
"3472","71","Rock and Roll Dreams Come Through","Meat Loaf","1994"
"3473","72","Amazing","Aerosmith","1994"
"3474","73","Always","Erasure","1994"
"3475","74","Groove Thang","Zhané","1994"
"3476","75","Dreams","Gabrielle","1994"
"3477","76","Mr. Vain","Culture Beat","1994"
"3478","77","Mary Jane's Last Dance","Tom Petty and the Heartbreakers","1994"
"3479","78","Anything","SWV","1994"
"3480","79","Beautiful in My Eyes","Joshua Kadison","1994"
"3481","80","Stay","Eternal","1994"
"3482","81","Flava in Ya Ear","Craig Mack","1994"
"3483","82","U.N.I.T.Y.","Queen Latifah","1994"
"3484","83","Prayer for the Dying","Seal","1994"
"3485","84","Secret","Madonna","1994"
"3486","85","Here Comes the Hotstepper","Ini Kamoze","1994"
"3487","86","Everyday","Phil Collins","1994"
"3488","87","Don't Take the Girl","Tim McGraw","1994"
"3489","88","Got Me Waiting","Heavy D & the Boyz","1994"
"3490","89","December, 1963 (Oh, What a Night)","The Four Seasons","1994"
"3491","90","Indian Outlaw","Tim McGraw","1994"
"3492","91","Always","Bon Jovi","1994"
"3493","92","I'm the Only One","Melissa Etheridge","1994"
"3494","93","Back in the Day","Ahmad","1994"
"3495","94","Love Sneakin' Up On You","Bonnie Raitt","1994"
"3496","95","I'll Take You There","General Public","1994"
"3497","96","Always in My Heart","Tevin Campbell","1994"
"3498","97","What Is Love","Haddaway","1994"
"3499","98","And Our Feelings","Babyface","1994"
"3500","99","Bop Gun (One Nation)","Ice Cube featuring George Clinton","1994"
"3501","100","I Wanna Be Down","Brandy","1994"
"3502","1","Gangsta's Paradise","Coolio featuring L.V.","1995"
"3503","2","Waterfalls","TLC","1995"
"3504","3","Creep","TLC","1995"
"3505","4","Kiss from a Rose","Seal","1995"
"3506","5","On Bended Knee","Boyz II Men","1995"
"3507","6","Another Night","Real McCoy","1995"
"3508","7","Fantasy","Mariah Carey","1995"
"3509","8","Take a Bow","Madonna","1995"
"3510","9","Don't Take It Personal (Just One of Dem Days)","Monica","1995"
"3511","10","This Is How We Do It","Montell Jordan","1995"
"3512","11","I Know","Dionne Farris","1995"
"3513","12","Water Runs Dry","Boyz II Men","1995"
"3514","13","Freak Like Me","Adina Howard","1995"
"3515","14","Run-Around","Blues Traveler","1995"
"3516","15","I Can Love You Like That","All-4-One","1995"
"3517","16","Have You Ever Really Loved a Woman?","Bryan Adams","1995"
"3518","17","Always","Bon Jovi","1995"
"3519","18","Boombastic","Shaggy","1995"
"3520","19","Total Eclipse of the Heart","Nicki French","1995"
"3521","20","You Gotta Be","Des'ree","1995"
"3522","21","You Are Not Alone","Michael Jackson","1995"
"3523","22","Hold My Hand","Hootie & the Blowfish","1995"
"3524","23","One More Chance","The Notorious B.I.G.","1995"
"3525","24","Here Comes the Hotstepper","Ini Kamoze","1995"
"3526","25","Candy Rain","Soul for Real","1995"
"3527","26","Let Her Cry","Hootie & the Blowfish","1995"
"3528","27","I Believe","Blessid Union of Souls","1995"
"3529","28","Red Light Special","TLC","1995"
"3530","29","Runaway","Janet Jackson","1995"
"3531","30","Strong Enough","Sheryl Crow","1995"
"3532","31","Colors of the Wind","Vanessa Williams","1995"
"3533","32","Someone to Love","Jon B.","1995"
"3534","33","Only Wanna Be with You","Hootie & the Blowfish","1995"
"3535","34","If You Love Me","Brownstone","1995"
"3536","35","In the House of Stone and Light","Martin Page","1995"
"3537","36","I Got 5 on It","Luniz","1995"
"3538","37","Baby","Brandy","1995"
"3539","38","Run Away","Real McCoy","1995"
"3540","39","As I Lay Me Down","Sophie B. Hawkins","1995"
"3541","40","He's Mine","Mokenstef","1995"
"3542","41","December","Collective Soul","1995"
"3543","42","I'll Be There for You/You're All I Need to Get By","Method Man featuring Mary J. Blige","1995"
"3544","43","Shy Guy","Diana King","1995"
"3545","44","I'm the Only One","Melissa Etheridge","1995"
"3546","45","Every Little Thing I Do","Soul for Real","1995"
"3547","46","Before I Let You Go","Blackstreet","1995"
"3548","47","Big Poppa","The Notorious B.I.G.","1995"
"3549","48","Sukiyaki","4 P.M.","1995"
"3550","49","I Wanna Be Down","Brandy","1995"
"3551","50","I'll Make Love to You","Boyz II Men","1995"
"3552","51","Dear Mama","2Pac","1995"
"3553","52","Hold On","Jamie Walters","1995"
"3554","53","Keep Their Heads Ringin'","Dr. Dre","1995"
"3555","54","The Rhythm of the Night","Corona","1995"
"3556","55","Roll to Me","Del Amitri","1995"
"3557","56","Scream","Michael Jackson and Janet Jackson","1995"
"3558","57","Freek'n You","Jodeci","1995"
"3559","58","I Wish","Skee-Lo","1995"
"3560","59","Believe","Elton John","1995"
"3561","60","Carnival","Natalie Merchant","1995"
"3562","61","You Don't Know How It Feels","Tom Petty","1995"
"3563","62","Back for Good","Take That","1995"
"3564","63","Tootsee Roll","69 Boyz","1995"
"3565","64","You Want This","Janet Jackson","1995"
"3566","65","Tell Me","Groove Theory","1995"
"3567","66","Can't You See","Total featuring The Notorious B.I.G.","1995"
"3568","67","All I Wanna Do","Sheryl Crow","1995"
"3569","68","This Lil' Game We Play","Subway featuring 702","1995"
"3570","69","Come and Get Your Love","Real McCoy","1995"
"3571","70","This Ain't a Love Song","Bon Jovi","1995"
"3572","71","Secret","Madonna","1995"
"3573","72","Player's Anthem","Junior M.A.F.I.A. featuring The Notorious B.I.G.","1995"
"3574","73","Feel Me Flow","Naughty by Nature","1995"
"3575","74","Every Day of the Week","Jade","1995"
"3576","75","The Sweetest Days","Vanessa Williams","1995"
"3577","76","Short Dick Man","20 Fingers featuring Gillette","1995"
"3578","77","Brokenhearted","Brandy featuring Wanya Morris","1995"
"3579","78","No More I Love You's","Annie Lennox","1995"
"3580","79","You Used to Love Me","Faith Evans","1995"
"3581","80","Constantly","Immature","1995"
"3582","81","Hold Me, Thrill Me, Kiss Me, Kill Me","U2","1995"
"3583","82","100% Pure Love","Crystal Waters","1995"
"3584","83","Ask of You","Raphael Saadiq","1995"
"3585","84","Sugar Hill","AZ","1995"
"3586","85","Good","Better Than Ezra","1995"
"3587","86","Brown Sugar","D'Angelo","1995"
"3588","87","Turn the Beat Around","Gloria Estefan","1995"
"3589","88","'Til You Do Me Right","After 7","1995"
"3590","89","1st of tha Month","Bone Thugs-n-Harmony","1995"
"3591","90","Like the Way I Do","Melissa Etheridge","1995"
"3592","91","I Live My Life for You","FireHouse","1995"
"3593","92","Dream About You","Stevie B","1995"
"3594","93","Cotton Eye Joe","Rednex","1995"
"3595","94","Thank You","Boyz II Men","1995"
"3596","95","I'll Stand by You","The Pretenders","1995"
"3597","96","I Miss You","N II U","1995"
"3598","97","Give It 2 You","Da Brat","1995"
"3599","98","Best Friend","Brandy","1995"
"3600","99","Misery","Soul Asylum","1995"
"3601","100","Can't Stop Lovin' You","Van Halen","1995"
"3602","1","Macarena (Bayside Boys Mix)","Los del Río","1996"
"3603","2","One Sweet Day","Mariah Carey and Boyz II Men","1996"
"3604","3","Because You Loved Me","Celine Dion","1996"
"3605","4","Nobody Knows","The Tony Rich Project","1996"
"3606","5","Always Be My Baby","Mariah Carey","1996"
"3607","6","Give Me One Reason","Tracy Chapman","1996"
"3608","7","Tha Crossroads","Bone Thugs-n-Harmony","1996"
"3609","8","I Love You Always Forever","Donna Lewis","1996"
"3610","9","You're Makin' Me High / Let It Flow","Toni Braxton","1996"
"3611","10","Twisted","Keith Sweat","1996"
"3612","11","C'mon N' Ride It (The Train)","Quad City DJ's","1996"
"3613","12","Missing","Everything but the Girl","1996"
"3614","13","Ironic","Alanis Morissette","1996"
"3615","14","Exhale (Shoop Shoop)","Whitney Houston","1996"
"3616","15","Follow You Down / Til I Hear It from You","Gin Blossoms","1996"
"3617","16","Sittin' Up in My Room","Brandy","1996"
"3618","17","How Do U Want It / California Love","2Pac featuring K-Ci and JoJo","1996"
"3619","18","It's All Coming Back to Me Now","Celine Dion","1996"
"3620","19","Change the World","Eric Clapton","1996"
"3621","20","Hey Lover","LL Cool J","1996"
"3622","21","Loungin","LL Cool J","1996"
"3623","22","Insensitive","Jann Arden","1996"
"3624","23","Be My Lover","La Bouche","1996"
"3625","24","Name","Goo Goo Dolls","1996"
"3626","25","Who Will Save Your Soul","Jewel","1996"
"3627","26","Where Do You Go","No Mercy","1996"
"3628","27","I Can't Sleep Baby (If I)","R. Kelly","1996"
"3629","28","Counting Blue Cars","Dishwalla","1996"
"3630","29","You Learn / You Oughta Know","Alanis Morissette","1996"
"3631","30","One of Us","Joan Osborne","1996"
"3632","31","Wonder","Natalie Merchant","1996"
"3633","32","Not Gon' Cry","Mary J. Blige","1996"
"3634","33","Gangsta's Paradise","Coolio featuring L.V.","1996"
"3635","34","Only You","112 featuring The Notorious B.I.G. and Mase","1996"
"3636","35","Down Low (Nobody Has to Know)","R. Kelly featuring The Isley Brothers","1996"
"3637","36","You're the One","SWV","1996"
"3638","37","Sweet Dreams","La Bouche","1996"
"3639","38","Before You Walk Out of My Life / Like This and Like That","Monica","1996"
"3640","39","Breakfast at Tiffany's","Deep Blue Something","1996"
"3641","40","1, 2, 3, 4 (Sumpin' New)","Coolio","1996"
"3642","41","The World I Know","Collective Soul","1996"
"3643","42","No Diggity","Blackstreet featuring Dr. Dre","1996"
"3644","43","Anything","3T","1996"
"3645","44","1979","The Smashing Pumpkins","1996"
"3646","45","Diggin' on You","TLC","1996"
"3647","46","Why I Love You So Much / Ain't Nobody","Monica","1996"
"3648","47","Kissin' You","Total","1996"
"3649","48","Count On Me","Whitney Houston featuring CeCe Winans","1996"
"3650","49","Fantasy","Mariah Carey","1996"
"3651","50","Time","Hootie & the Blowfish","1996"
"3652","51","You'll See","Madonna","1996"
"3653","52","Last Night","Az Yet","1996"
"3654","53","Mouth","Merril Bainbridge","1996"
"3655","54","The Earth, the Sun, the Rain","Color Me Badd","1996"
"3656","55","All the Things (Your Man Won't Do)","Joe","1996"
"3657","56","Wonderwall","Oasis","1996"
"3658","57","Woo Hah!! Got You All in Check","Busta Rhymes","1996"
"3659","58","Tell Me","Groove Theory","1996"
"3660","59","Elevators (Me & You)","Outkast","1996"
"3661","60","Hook","Blues Traveler","1996"
"3662","61","Doin' It","LL Cool J","1996"
"3663","62","Fastlove","George Michael","1996"
"3664","63","Touch Me, Tease Me","Case featuring Foxy Brown","1996"
"3665","64","Tonite's tha Night ","Kris Kross","1996"
"3666","65","Children","Robert Miles","1996"
"3667","66","Theme from Mission: Impossible","Adam Clayton and Larry Mullen","1996"
"3668","67","Closer to Free","BoDeans","1996"
"3669","68","Just a Girl","No Doubt","1996"
"3670","69","If Your Girl Only Knew","Aaliyah","1996"
"3671","70","Lady","D'Angelo","1996"
"3672","71","Key West Intermezzo (I Saw You First)","John Mellencamp","1996"
"3673","72","Pony","Ginuwine","1996"
"3674","73","Nobody","Keith Sweat featuring Athena Cage","1996"
"3675","74","Old Man and Me (When I Get To Heaven)","Hootie & the Blowfish","1996"
"3676","75","If It Makes You Happy","Sheryl Crow","1996"
"3677","76","As I Lay Me Down","Sophie B. Hawkins","1996"
"3678","77","Keep On, Keepin' On","MC Lyte featuring Xscape","1996"
"3679","78","Jealousy","Natalie Merchant","1996"
"3680","79","I Want to Come Over","Melissa Etheridge","1996"
"3681","80","Who Do U Love","Deborah Cox","1996"
"3682","81","Un-Break My Heart","Toni Braxton","1996"
"3683","82","This Is Your Night","Amber","1996"
"3684","83","You Remind Me of Something","R. Kelly","1996"
"3685","84","Runaway","Janet Jackson","1996"
"3686","85","Set U Free","Planet Soul","1996"
"3687","86","Hit Me Off","New Edition","1996"
"3688","87","No One Else","Total","1996"
"3689","88","My Boo","Ghost Town DJ's","1996"
"3690","89","Get Money","Junior M.A.F.I.A. featuring The Notorious B.I.G.","1996"
"3691","90","That Girl","Maxi Priest featuring Shaggy","1996"
"3692","91","Po Pimp","Do or Die featuring Twista","1996"
"3693","92","Until It Sleeps","Metallica","1996"
"3694","93","Hay","Crucial Conflict","1996"
"3695","94","Beautiful Life","Ace of Base","1996"
"3696","95","Back for Good","Take That","1996"
"3697","96","I Got Id","Pearl Jam","1996"
"3698","97","Soon as I Get Home","Faith Evans","1996"
"3699","98","Macarena","Los del Río","1996"
"3700","99","Only Wanna Be with You","Hootie & the Blowfish","1996"
"3701","100","Don't Cry","Seal","1996"
"3702","1","Something About the Way You Look Tonight / Candle in the Wind 1997","Elton John","1997"
"3703","2","Foolish Games / You Were Meant for Me","Jewel","1997"
"3704","3","I'll Be Missing You","Puff Daddy featuring Faith Evans and 112","1997"
"3705","4","Un-Break My Heart","Toni Braxton","1997"
"3706","5","Can't Nobody Hold Me Down","Puff Daddy featuring Mase","1997"
"3707","6","I Believe I Can Fly","R. Kelly","1997"
"3708","7","Don't Let Go (Love)","En Vogue","1997"
"3709","8","Return of the Mack","Mark Morrison","1997"
"3710","9","How Do I Live","LeAnn Rimes","1997"
"3711","10","Wannabe","Spice Girls","1997"
"3712","11","Quit Playing Games (With My Heart)","Backstreet Boys","1997"
"3713","12","MMMBop","Hanson","1997"
"3714","13","For You I Will","Monica","1997"
"3715","14","You Make Me Wanna...","Usher","1997"
"3716","15","Bitch","Meredith Brooks","1997"
"3717","16","Nobody","Keith Sweat featuring Athena Cage","1997"
"3718","17","Semi-Charmed Life","Third Eye Blind","1997"
"3719","18","Barely Breathing","Duncan Sheik","1997"
"3720","19","Hard to Say I'm Sorry","Az Yet featuring Peter Cetera","1997"
"3721","20","Mo Money Mo Problems","The Notorious B.I.G. featuring Puff Daddy and Mase","1997"
"3722","21","The Freshmen","The Verve Pipe","1997"
"3723","22","I Want You","Savage Garden","1997"
"3724","23","No Diggity","Blackstreet featuring Dr. Dre","1997"
"3725","24","I Belong to You (Every Time I See Your Face)","Rome","1997"
"3726","25","Hypnotize","The Notorious B.I.G.","1997"
"3727","26","Every Time I Close My Eyes","Babyface","1997"
"3728","27","In My Bed","Dru Hill","1997"
"3729","28","Say You'll Be There","Spice Girls","1997"
"3730","29","Do You Know (What It Takes)","Robyn","1997"
"3731","30","4 Seasons of Loneliness","Boyz II Men","1997"
"3732","31","G.H.E.T.T.O.U.T.","Changing Faces","1997"
"3733","32","Honey","Mariah Carey","1997"
"3734","33","I Believe in You and Me","Whitney Houston","1997"
"3735","34","Da' Dip","Freak Nasty","1997"
"3736","35","2 Become 1","Spice Girls","1997"
"3737","36","All for You","Sister Hazel","1997"
"3738","37","Cupid","112","1997"
"3739","38","Where Have All the Cowboys Gone?","Paula Cole","1997"
"3740","39","Sunny Came Home","Shawn Colvin","1997"
"3741","40","It's Your Love","Tim McGraw and Faith Hill","1997"
"3742","41","Ooh Aah... Just a Little Bit","Gina G","1997"
"3743","42","Mouth","Merril Bainbridge","1997"
"3744","43","All Cried Out","Allure featuring 112","1997"
"3745","44","I'm Still in Love with You","New Edition","1997"
"3746","45","Invisible Man","98 Degrees","1997"
"3747","46","Not Tonight","Lil' Kim featuring Da Brat, Left Eye, Missy Elliott and Angie Martinez","1997"
"3748","47","Look into My Eyes","Bone Thugs-n-Harmony","1997"
"3749","48","Get It Together","702","1997"
"3750","49","All by Myself","Celine Dion","1997"
"3751","50","It's All Coming Back to Me Now","Celine Dion","1997"
"3752","51","My Love Is the Shhh!","Somethin' for the People featuring Trina & Tamara","1997"
"3753","52","Where Do You Go","No Mercy","1997"
"3754","53","I Finally Found Someone","Barbra Streisand and Bryan Adams","1997"
"3755","54","I'll Be","Foxy Brown featuring Jay-Z","1997"
"3756","55","If It Makes You Happy","Sheryl Crow","1997"
"3757","56","Never Make a Promise","Dru Hill","1997"
"3758","57","When You Love a Woman","Journey","1997"
